pick_id,logged_at,sport,sport_label,player_id,player,team,market,market_label,line,side,price,hit_rate_at_pick,edge_at_pick,games_sample,commence_time,status,actual_value,result,graded_at
nfl|00-0036259|player_reception_yds|22.5|2026-09-13T20:25:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_reception_yds,Rec Yds,22.5,Over,-115,1.0,0.4651,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0034348|player_receptions|4.5|2026-09-15T00:15:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0034348,Courtland Sutton,DEN,player_receptions,Receptions,4.5,Over,124,0.9,0.4536,10,2026-09-15T00:15:00Z,pending,,,
mlb|5132012|batter_rbis|0.5|2026-09-03T23:15:00Z,2026-09-03 17:03 UTC,mlb,MLB,5132012,Mickey Gasper,BOS,batter_rbis,RBIs,0.5,Over,183,0.8,0.4466,10,2026-09-03T23:15:00Z,graded,1.0,HIT,2026-09-06 18:00 UTC
nfl|00-0037840|player_rush_yds|55.5|2026-09-11T00:35:00Z,2026-09-03 19:32 UTC,nfl,NFL,00-0037840,Kyren Williams,LA,player_rush_yds,Rush Yds,55.5,Over,-110,1.0,0.4762,10,2026-09-11T00:35:00Z,pending,,,
mlb|4905921|batter_hits|0.5|2026-09-04T00:05:00Z,2026-09-04 01:00 UTC,mlb,MLB,4905921,Junior Caminero,TB,batter_hits,Hits,0.5,Over,110,1.0,0.5238,10,2026-09-04T00:05:00Z,graded,2.0,HIT,2026-09-06 18:00 UTC
mlb|41917|batter_hits|0.5|2026-09-03T23:40:33Z,2026-09-04 01:00 UTC,mlb,MLB,41917,Otto Lopez,MIA,batter_hits,Hits,0.5,Over,165,0.9,0.5226,10,2026-09-03T23:40:33Z,graded,0.0,MISS,2026-09-06 18:00 UTC
mlb|41199|pitcher_strikeouts|5.5|2026-09-04T00:05:00Z,2026-09-04 01:00 UTC,mlb,MLB,41199,Shane McClanahan,TB,pitcher_strikeouts,Pitcher Ks,5.5,Under,100,1.0,0.5,5,2026-09-04T00:05:00Z,graded,3.0,HIT,2026-09-08 03:30 UTC
nfl|00-0036997|player_rush_yds|72.5|2026-09-14T00:20:00Z,2026-09-04 01:00 UTC,nfl,NFL,00-0036997,Javonte Williams,DAL,player_rush_yds,Rush Yds,72.5,Under,-112,1.0,0.4717,10,2026-09-14T00:20:00Z,pending,,,
mlb|5265417|batter_hits|0.5|2026-09-05T00:41:00Z,2026-09-04 16:54 UTC,mlb,MLB,5265417,Jose Fermin,LAA,batter_hits,Hits,0.5,Under,197,1.0,0.6633,10,2026-09-05T00:41:00Z,graded,0.0,HIT,2026-09-06 18:00 UTC
mlb|4683350|pitcher_outs|11.5|2026-09-04T18:11:00Z,2026-09-04 16:54 UTC,mlb,MLB,4683350,Logan Allen,CLE,pitcher_outs,Outs Recorded,11.5,Under,150,1.0,0.6,5,2026-09-04T18:11:00Z,graded,7.0,HIT,2026-09-06 18:00 UTC
mlb|41227|pitcher_outs|13.5|2026-09-05T00:10:00Z,2026-09-04 16:54 UTC,mlb,MLB,41227,Daniel Lynch IV,KC,pitcher_outs,Outs Recorded,13.5,Under,105,1.0,0.5122,10,2026-09-05T00:10:00Z,graded,15.0,MISS,2026-09-06 18:00 UTC
mlb|5132012|batter_rbis|0.5|2026-09-04T23:06:00Z,2026-09-04 16:54 UTC,mlb,MLB,5132012,Mickey Gasper,BOS,batter_rbis,RBIs,0.5,Over,229,0.8,0.496,10,2026-09-04T23:06:00Z,graded,1.0,HIT,2026-09-06 18:00 UTC
